# mesh name: boxMesh_1
# primitive scorer name: betacount
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,0,0,759999.9999999999,8199999999.999998,73
0,0,1,51249999.99999999,568099999999.9999,4899
0,0,2,45539999.99999999,506399999999.9999,4333
0,0,3,42239999.99999999,466599999999.9999,4039
0,0,4,39829999.99999999,435299999999.9999,3818
0,0,5,38149999.99999999,421099999999.9999,3644
0,0,6,37049999.99999999,416699999999.9999,3519
0,0,7,35889999.99999999,398899999999.9999,3421
0,0,8,35219999.99999999,395599999999.9999,3343
0,0,9,34019999.99999999,376799999999.9999,3257
0,0,10,33399999.99999999,372999999999.9999,3182
0,0,11,32749999.99999999,363699999999.9999,3119
0,0,12,32229999.99999999,356299999999.9999,3071
0,0,13,31749999.99999999,354499999999.9999,3019
0,0,14,31329999.99999999,351099999999.9999,2980
0,0,15,30759999.99999999,339399999999.9999,2939
0,0,16,30219999.99999999,332399999999.9999,2892
0,0,17,29949999.99999999,332299999999.9999,2857
0,0,18,29509999.99999999,328099999999.9999,2815
0,0,19,29079999.99999999,321799999999.9999,2780
0,0,20,28809999.99999999,319299999999.9999,2746
0,0,21,28499999.99999999,318399999999.9999,2713
0,0,22,28119999.99999999,311199999999.9999,2678
0,0,23,27689999.99999999,304299999999.9999,2648
0,0,24,27589999.99999999,309899999999.9999,2619
0,0,25,27269999.99999999,304899999999.9999,2590
0,0,26,27019999.99999999,304199999999.9999,2566
0,0,27,26719999.99999999,299199999999.9999,2543
0,0,28,26429999.99999999,293899999999.9999,2516
0,0,29,26339999.99999999,296199999999.9999,2493
0,0,30,26099999.99999999,294799999999.9999,2469
0,0,31,25810000,288499999999.9999,2447
0,0,32,25650000,289499999999.9999,2430
0,0,33,25250000,278499999999.9999,2409
0,0,34,25180000,279999999999.9999,2394
0,0,35,24950000,275699999999.9999,2379
0,0,36,24880000,275399999999.9999,2371
0,0,37,24660000,271799999999.9999,2354
0,0,38,24540000,272799999999.9999,2335
0,0,39,24250000,266899999999.9999,2317
0,0,40,24290000,272699999999.9999,2303
0,0,41,24190000,269899999999.9999,2295
0,0,42,24050000,270299999999.9999,2277
0,0,43,23750000,265099999999.9999,2255
0,0,44,23800000,269599999999.9999,2243
0,0,45,23560000,263799999999.9999,2231
0,0,46,23520000,266799999999.9999,2219
0,0,47,23340000,262599999999.9999,2209
0,0,48,23100000,258399999999.9999,2191
0,0,49,23070000,260099999999.9999,2186
0,0,50,22910000,256299999999.9999,2171
0,0,51,22840000,258199999999.9999,2159
0,0,52,22720000,255599999999.9999,2149
0,0,53,22540000,252399999999.9999,2137
0,0,54,22320000,249599999999.9999,2117
0,0,55,22120000,245999999999.9999,2100
0,0,56,21930000,242299999999.9999,2088
0,0,57,21950000,249699999999.9999,2074
0,0,58,21760000,241599999999.9999,2064
0,0,59,21700000,241999999999.9999,2055
0,0,60,21700000,246799999999.9999,2044
0,0,61,21510000,243099999999.9999,2030
0,0,62,21230000,235299999999.9999,2021
0,0,63,21160000,234399999999.9999,2010
0,0,64,21170000,239099999999.9999,2003
0,0,65,20990000,235299999999.9999,1988
0,0,66,20910000,234899999999.9999,1976
0,0,67,20660000,229399999999.9999,1965
0,0,68,20570000,229499999999.9999,1955
0,0,69,20560000,230399999999.9999,1948
0,0,70,20390000,226299999999.9999,1939
0,0,71,20310000,229099999999.9999,1928
0,0,72,20150000,224299999999.9999,1919
0,0,73,20140000,224199999999.9999,1915
0,0,74,19910000,222099999999.9999,1893
0,0,75,19740000,218199999999.9999,1885
0,0,76,19770000,220299999999.9999,1881
0,0,77,19720000,219999999999.9999,1876
0,0,78,19670000,219899999999.9999,1869
0,0,79,19590000,220099999999.9999,1858
0,0,80,19660000,225399999999.9999,1849
0,0,81,19560000,221799999999.9999,1842
0,0,82,19550000,225099999999.9999,1833
0,0,83,19330000,218899999999.9999,1823
0,0,84,19090000,213899999999.9999,1814
0,0,85,19020000,210399999999.9999,1809
0,0,86,18920000,211799999999.9999,1795
0,0,87,18750000,207699999999.9999,1786
0,0,88,18790000,211499999999.9999,1779
0,0,89,18720000,212399999999.9999,1770
0,0,90,18540000,207599999999.9999,1759
0,0,91,18420000,206199999999.9999,1748
0,0,92,18170000,197899999999.9999,1741
0,0,93,18000000,195799999999.9999,1729
0,0,94,17990000,198699999999.9999,1718
0,0,95,17930000,197299999999.9999,1712
0,0,96,17790000,194699999999.9999,1702
0,0,97,17740000,195999999999.9999,1694
0,0,98,17760000,199199999999.9999,1689
0,0,99,17660000,195399999999.9999,1683
0,0,100,17610000,194499999999.9999,1676
0,0,101,17460000,191999999999.9999,1666
0,0,102,17430000,195899999999.9999,1654
0,0,103,17380000,195399999999.9999,1645
0,0,104,17460000,199599999999.9999,1640
